,node,degree,betweenness,eigenvector
0,Hillary Clinton,0.8133333333333334,0.7134019388516034,0.6128320080656539
12,Donald Trump,0.2733333333333334,0.06816256524981357,0.314697478941779
20,Bush,0.15333333333333335,0.03426249067859806,0.2102829894615893
16,Cruz,0.1,0.0023131991051454134,0.17513320924909023
18,Barack Obama,0.07333333333333333,0.03707084265473528,0.13132276267869766
41,Boehner,0.04666666666666667,0.03522744220730799,0.01778402028154862
102,Lesley Stahl,0.04666666666666667,0.011709172259507832,0.08277590945453785
120,Morris,0.04666666666666667,0.0008948545861297539,1.4916533660757764e-17
25,Bill Clinton,0.04666666666666667,0.00026249067859806125,0.10037162560794693
9,Ryan,0.04,0.02064727815063386,0.08310997252789158
47,Paul,0.04,0.0002087994034302759,0.08550496497880528
59,Putin,0.04,0.00013124533929903063,0.09240558355817478
24,Nixon,0.04,0.00011931394481730054,0.08173579448033283
22,Reagan,0.04,9.843400447427295e-05,0.09923655183008817
17,Kasich,0.04,0.0,0.10683642537674469
50,Carson,0.04,0.0,0.10683642537674469
3,Clintons,0.04,0.0,0.09048990826583828
53,Johnson,0.03333333333333333,9.843400447427295e-05,0.08212559879287683
88,Abedin,0.03333333333333333,4.47427293064877e-05,0.0580833672443325
14,Ted Cruz,0.03333333333333333,0.0,0.10683642537674469
33,Marco Rubio,0.03333333333333333,0.0,0.10683642537674469
36,Romney,0.03333333333333333,0.0,0.09258567633334687
61,Fiorina,0.03333333333333333,0.0,0.08972547233953335
2,Comey,0.03333333333333333,0.0,0.08165394391841341
40,Warren,0.02666666666666667,0.011812080536912753,0.05017457320675515
28,Jeb Bush,0.02666666666666667,0.0,0.09879726942861812
49,Ben Carson,0.02666666666666667,0.0,0.09879726942861812
26,Bill,0.02666666666666667,0.0,0.08415730496068431
19,George W. Bush,0.02,0.0,0.08561886121638623
52,Chris Christie,0.02,0.0,0.08561886121638623
15,John Kasich,0.02,0.0,0.08297387887370346
13,Bernie Sanders,0.02,0.0,0.0796771880035802
5,Vladimir Putin,0.02,0.0,0.07674874693366288
6,Paul Ryan,0.02,0.0,0.07604926533834497
1,James Comey,0.02,0.0,0.07593970307775845
99,Soros,0.02,0.0,0.049867353486760885
84,Netanyahu,0.02,0.0,0.010685807415868595
29,McConnell,0.02,0.0,0.001447113332948856
27,John McCain,0.013333333333333334,0.0,0.06979547066147157
45,Donald Trump's,0.013333333333333334,0.0,0.06979547066147157
58,Donald,0.013333333333333334,0.0,0.06979547066147157
82,Kaine,0.013333333333333334,0.0,0.06979547066147157
90,Mike Pence,0.013333333333333334,0.0,0.06979547066147157
111,McCain,0.013333333333333334,0.0,0.06979547066147157
30,George H.W. Bush,0.013333333333333334,0.0,0.06193838228537105
110,Gore,0.013333333333333334,0.0,0.06193838228537105
37,Rand Paul,0.013333333333333334,0.0,0.052549015227202595
55,Huma,0.013333333333333334,0.0,0.0504856017969845
87,Weiner,0.013333333333333334,0.0,0.0504856017969845
91,Julian Assange,0.013333333333333334,0.0,0.049867353486760885
127,John Pilger,0.013333333333333334,0.0,0.049867353486760885
51,Jeb,0.013333333333333334,0.0,0.03950386948592986
34,Melania Trump,0.013333333333333334,0.0,0.029909132719605477
103,Ivanka,0.013333333333333334,0.0,0.029909132719605477
104,Eric Trump,0.013333333333333334,0.0,0.029909132719605477
46,Mateen,0.013333333333333334,0.0,1.465476783672726e-25
54,Brown,0.013333333333333334,0.0,1.465476783672726e-25
75,Scalia,0.013333333333333334,0.0,1.465476783672726e-25
107,Francis,0.013333333333333334,0.0,1.465476783672726e-25
109,Davis,0.013333333333333334,0.0,1.465476783672726e-25
129,Kelly,0.013333333333333334,0.0,1.465476783672726e-25
132,Tai,0.013333333333333334,0.0,1.465476783672726e-25
143,Kuznetsov,0.013333333333333334,0.0,1.465476783672726e-25
144,Bergdahl,0.013333333333333334,0.0,1.465476783672726e-25
146,Buckley,0.013333333333333334,0.0,1.465476783672726e-25
150,Doss,0.013333333333333334,0.0,1.465476783672726e-25
4,Harry Reid,0.006666666666666667,0.0,0.046114991730456384
7,Anthony Weiner,0.006666666666666667,0.0,0.046114991730456384
8,Huma Abedin,0.006666666666666667,0.0,0.046114991730456384
10,Jill Stein,0.006666666666666667,0.0,0.046114991730456384
11,Bernie,0.006666666666666667,0.0,0.046114991730456384
21,Ronald Reagan,0.006666666666666667,0.0,0.046114991730456384
23,Richard Nixon,0.006666666666666667,0.0,0.046114991730456384
31,Joe Biden,0.006666666666666667,0.0,0.046114991730456384
32,Elizabeth Warren,0.006666666666666667,0.0,0.046114991730456384
35,Loretta Lynch,0.006666666666666667,0.0,0.046114991730456384
38,Biden,0.006666666666666667,0.0,0.046114991730456384
39,Wikileaks,0.006666666666666667,0.0,0.046114991730456384
43,Sanders,0.006666666666666667,0.0,0.046114991730456384
44,John Podesta,0.006666666666666667,0.0,0.046114991730456384
48,Stevens,0.006666666666666667,0.0,0.046114991730456384
56,Debbie Wasserman Schultz,0.006666666666666667,0.0,0.046114991730456384
57,Wasserman Schultz,0.006666666666666667,0.0,0.046114991730456384
60,Podesta,0.006666666666666667,0.0,0.046114991730456384
62,Whitewater,0.006666666666666667,0.0,0.046114991730456384
63,Monica Lewinsky,0.006666666666666667,0.0,0.046114991730456384
64,Lewinsky,0.006666666666666667,0.0,0.046114991730456384
65,Osama bin Laden,0.006666666666666667,0.0,0.046114991730456384
66,Blackberry,0.006666666666666667,0.0,0.046114991730456384
67,Tim Kaine,0.006666666666666667,0.0,0.046114991730456384
68,Martin O'Malley,0.006666666666666667,0.0,0.046114991730456384
