,node,degree,betweenness,eigenvector
0,Hillary Clinton,0.7307692307692308,0.590623428858723,0.6601429190256617
1,Donald Trump,0.25,0.08081950729009553,0.3205786264112892
2,Lesley Stahl,0.13461538461538464,0.052664655605832084,0.18318003148154874
3,Morris,0.13461538461538464,0.007541478129713424,1.2909698966971933e-07
4,Bush,0.11538461538461539,0.06033182503770739,0.1662062962398695
5,Putin,0.11538461538461539,0.0016339869281045752,0.2020299094728833
6,Comey,0.09615384615384616,0.001256913021618904,0.17534177237814233
7,Reagan,0.07692307692307693,0.0,0.030941912224056428
8,Barack Obama,0.057692307692307696,0.0,0.16312921471776776
9,Soros,0.057692307692307696,0.0,0.10561600293148292
10,Clintons,0.038461538461538464,0.0,0.13526438401581303
11,Bill Clinton,0.038461538461538464,0.0,0.13526438401581303
12,Vladimir Putin,0.038461538461538464,0.0,0.11891375474886735
13,James Comey,0.038461538461538464,0.0,0.11523283955962048
14,Julian Assange,0.038461538461538464,0.0,0.10561600293148292
15,John Pilger,0.038461538461538464,0.0,0.10561600293148292
16,Melania Trump,0.038461538461538464,0.0,0.06948047907005359
17,Eric Trump,0.038461538461538464,0.0,0.06948047907005359
18,Nixon,0.038461538461538464,0.0,0.027191559287145776
19,Kuznetsov,0.038461538461538464,0.0,4.0090180693060376e-13
20,Doss,0.038461538461538464,0.0,4.0090180693060376e-13
21,Anthony Weiner,0.019230769230769232,0.0,0.09104892404691267
22,Huma Abedin,0.019230769230769232,0.0,0.09104892404691267
23,Jill Stein,0.019230769230769232,0.0,0.09104892404691267
24,Bernie Sanders,0.019230769230769232,0.0,0.09104892404691267
25,Bill,0.019230769230769232,0.0,0.09104892404691267
26,Loretta Lynch,0.019230769230769232,0.0,0.09104892404691267
27,Wikileaks,0.019230769230769232,0.0,0.09104892404691267
28,John Podesta,0.019230769230769232,0.0,0.09104892404691267
29,Podesta,0.019230769230769232,0.0,0.09104892404691267
30,George Soros,0.019230769230769232,0.0,0.09104892404691267
31,Weiner,0.019230769230769232,0.0,0.09104892404691267
32,Abedin,0.019230769230769232,0.0,0.09104892404691267
33,Cheryl Mills,0.019230769230769232,0.0,0.09104892404691267
34,Assange,0.019230769230769232,0.0,0.09104892404691267
35,Moore,0.019230769230769232,0.0,0.09104892404691267
36,Gaddafi,0.019230769230769232,0.0,0.09104892404691267
37,TPP,0.019230769230769232,0.0,0.09104892404691267
38,Michael,0.019230769230769232,0.0,0.09104892404691267
39,McCabe,0.019230769230769232,0.0,0.09104892404691267
40,Kadzik,0.019230769230769232,0.0,0.09104892404691267
41,Nishimura,0.019230769230769232,0.0,0.09104892404691267
42,Joe Trevors,0.019230769230769232,0.0,0.09104892404691267
43,Omar,0.019230769230769232,0.0,0.09104892404691267
44,David Duke,0.019230769230769232,0.0,0.04421545996890038
45,Ivanka,0.019230769230769232,0.0,0.025265019101153193
46,Benny Morris,0.019230769230769232,0.0,4.62499737482644e-08
47,Blatman,0.019230769230769232,0.0,4.62499737482644e-08
48,Ben-Gurion,0.019230769230769232,0.0,4.62499737482644e-08
49,Plan D,0.019230769230769232,0.0,4.62499737482644e-08
50,Ilan Pappé,0.019230769230769232,0.0,4.62499737482644e-08
51,Lowenstein,0.019230769230769232,0.0,4.0090180693060376e-13
52,Warren,0.019230769230769232,0.0,4.0090180693060376e-13
