,node,degree,betweenness,eigenvector
1,Hillary Clinton,0.865979381443299,0.7813931844215349,0.5948137032799862
0,Donald Trump,0.27835051546391754,0.04284793814432991,0.32442784929617324
9,Bush,0.1958762886597938,0.052133447880870556,0.25046602094564635
5,Cruz,0.15463917525773196,0.005319301260022908,0.23284569603791527
7,Barack Obama,0.08247422680412371,0.05813287514318441,0.1386584755891164
27,Boehner,0.07216494845360824,0.05684421534936998,0.02355198699099116
19,Ryan,0.061855670103092786,0.033147193585337915,0.09943786920134666
32,Paul,0.061855670103092786,0.0005011454753722795,0.10981583313649398
6,Kasich,0.061855670103092786,0.0,0.13510321352988286
35,Carson,0.061855670103092786,0.0,0.13510321352988286
2,Ted Cruz,0.05154639175257732,0.0,0.13510321352988286
22,Marco Rubio,0.05154639175257732,0.0,0.13510321352988286
23,Romney,0.05154639175257732,0.0,0.11267407099105506
40,Fiorina,0.05154639175257732,0.0,0.1109767619872757
16,Jeb Bush,0.041237113402061855,0.0,0.12323274431837936
34,Ben Carson,0.041237113402061855,0.0,0.12323274431837936
11,Reagan,0.041237113402061855,0.0,0.08854761944844788
38,Johnson,0.041237113402061855,0.0,0.08854761944844788
63,Putin,0.041237113402061855,0.0,0.08854761944844788
43,Clintons,0.041237113402061855,0.0,0.06563207717418561
80,Abedin,0.041237113402061855,0.0,0.06286285370182944
13,Bill Clinton,0.030927835051546393,0.00017898052691867124,0.08653421524515417
8,George W. Bush,0.030927835051546393,0.0,0.10277428611366582
37,Chris Christie,0.030927835051546393,0.0,0.10277428611366582
4,John Kasich,0.030927835051546393,0.0,0.10122610603746418
18,Paul Ryan,0.030927835051546393,0.0,0.08950447158102859
54,Netanyahu,0.030927835051546393,0.0,0.013356376257440516
17,McConnell,0.030927835051546393,0.0,0.0022686864459585125
3,Bernie Sanders,0.020618556701030927,0.0,0.08076764783275064
53,Kaine,0.020618556701030927,0.0,0.08076764783275064
73,McCain,0.020618556701030927,0.0,0.08076764783275064
24,Rand Paul,0.020618556701030927,0.0,0.061911110908562376
95,Huma,0.020618556701030927,0.0,0.057785698026373726
36,Jeb,0.020618556701030927,0.0,0.05051184287855787
31,Mateen,0.020618556701030927,0.0,1.4418516007147768e-20
48,Scalia,0.020618556701030927,0.0,1.4418516007147768e-20
70,Francis,0.020618556701030927,0.0,1.4418516007147768e-20
72,Davis,0.020618556701030927,0.0,1.4418516007147768e-20
90,Tai,0.020618556701030927,0.0,1.4418516007147768e-20
96,Bergdahl,0.020618556701030927,0.0,1.4418516007147768e-20
97,Buckley,0.020618556701030927,0.0,1.4418516007147768e-20
10,Ronald Reagan,0.010309278350515464,0.0,0.05226244323510795
12,Richard Nixon,0.010309278350515464,0.0,0.05226244323510795
14,Bill,0.010309278350515464,0.0,0.05226244323510795
15,John McCain,0.010309278350515464,0.0,0.05226244323510795
20,Joe Biden,0.010309278350515464,0.0,0.05226244323510795
21,Elizabeth Warren,0.010309278350515464,0.0,0.05226244323510795
25,Biden,0.010309278350515464,0.0,0.05226244323510795
26,Warren,0.010309278350515464,0.0,0.05226244323510795
29,Sanders,0.010309278350515464,0.0,0.05226244323510795
30,Donald Trump's,0.010309278350515464,0.0,0.05226244323510795
33,Stevens,0.010309278350515464,0.0,0.05226244323510795
39,Wasserman Schultz,0.010309278350515464,0.0,0.05226244323510795
41,Bernie,0.010309278350515464,0.0,0.05226244323510795
42,Whitewater,0.010309278350515464,0.0,0.05226244323510795
44,Monica Lewinsky,0.010309278350515464,0.0,0.05226244323510795
45,Lewinsky,0.010309278350515464,0.0,0.05226244323510795
46,Osama bin Laden,0.010309278350515464,0.0,0.05226244323510795
47,Blackberry,0.010309278350515464,0.0,0.05226244323510795
49,Robby Mook,0.010309278350515464,0.0,0.05226244323510795
50,Politico,0.010309278350515464,0.0,0.05226244323510795
51,Kennedy,0.010309278350515464,0.0,0.05226244323510795
52,Tim Kaine,0.010309278350515464,0.0,0.05226244323510795
55,McMullin,0.010309278350515464,0.0,0.05226244323510795
56,John Podesta,0.010309278350515464,0.0,0.05226244323510795
57,Comey,0.010309278350515464,0.0,0.05226244323510795
58,Michelle Obama,0.010309278350515464,0.0,0.05226244323510795
59,Mike Pence,0.010309278350515464,0.0,0.05226244323510795
60,Al Gore,0.010309278350515464,0.0,0.05226244323510795
61,Bill Clinton's,0.010309278350515464,0.0,0.05226244323510795
62,Vladimir Putin,0.010309278350515464,0.0,0.05226244323510795
64,Christopher Stevens,0.010309278350515464,0.0,0.05226244323510795
65,Reince Priebus,0.010309278350515464,0.0,0.05226244323510795
66,Sidney Blumenthal,0.010309278350515464,0.0,0.05226244323510795
67,Martin O'Malley,0.010309278350515464,0.0,0.05226244323510795
68,Jim Webb,0.010309278350515464,0.0,0.05226244323510795
69,Latino,0.010309278350515464,0.0,0.05226244323510795
74,Rodham,0.010309278350515464,0.0,0.05226244323510795
75,Huma Abedin,0.010309278350515464,0.0,0.05226244323510795
76,BlackBerry,0.010309278350515464,0.0,0.05226244323510795
77,Sullivan,0.010309278350515464,0.0,0.05226244323510795
78,Reid,0.010309278350515464,0.0,0.05226244323510795
79,Pagliano,0.010309278350515464,0.0,0.05226244323510795
81,Powell,0.010309278350515464,0.0,0.05226244323510795
83,Scott Walker,0.010309278350515464,0.0,0.05226244323510795
84,Gowdy,0.010309278350515464,0.0,0.05226244323510795
85,Blumenthal,0.010309278350515464,0.0,0.05226244323510795
86,Bannon,0.010309278350515464,0.0,0.05226244323510795
87,Williams,0.010309278350515464,0.0,0.05226244323510795
88,Gore,0.010309278350515464,0.0,0.05226244323510795
91,Jordan,0.010309278350515464,0.0,0.05226244323510795
92,Tipper,0.010309278350515464,0.0,0.05226244323510795
93,Hillary Rodham,0.010309278350515464,0.0,0.05226244323510795
94,Weiner,0.010309278350515464,0.0,0.05226244323510795
82,Marco,0.010309278350515464,0.0,0.02200663828091518
89,Murphy,0.010309278350515464,0.0,0.02200663828091518
28,John Boehner,0.010309278350515464,0.0,0.0020693550132965446
71,McCarthy,0.010309278350515464,0.0,0.0020693550132965446
